Id,SalePrice,Neighborhood,Condition1,Utilities,LandContour,OverallQual,GarageQual,PoolQC,ProximityToITHub,PublicTransportAccessibility,SchoolProximity,HospitalProximity,AirQuality,NoisePollution,RegulatoryCompliance,LandAcquisitionComplexity,GrLivArea,GarageCars,BedroomAbvGr,FullBath,HalfBath,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Dist_to_Metro,Airport_Proximity,NRI_Investment_Ratio,RERA_Status,City,State,Local_Economy,JobMarket,GreenSpaces,Fence,FireplaceQu,ShoppingProximity,RestaurantProximity,Zoning,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,Functional,KitchenQual,KitchenAbvGr,PavedDrive,Street,Alley,LotShape,LotConfig,LandSlope,LotSize,BldgType,HouseStyle,OverallCond,SwimmingPool,CinemaHallProximity,PubProximity,HighSchoolProximity,IntermediateSchoolProximity,UGCollegeProximity,PGCollegeProximity
1,8206682,Gurgaon,Adjacent to Metro,24/7,Flood-prone,Tata,Low,Good,Yes,High,3,2,Good,Low,Non-Compliant,High,2957,2,3,3,0,873,415,90,594,2,15,0.43759330758613857,Compliant,Bangalore,Maharashtra,Medium,Fair,No,Yes,Fair,3,2,Residential,2002,2017,Clay or Tile,Wood,Wood,None,229,Fair,Fair,Crawl Space,Excellent,Average,BLQ,BLQ,Fair,Yes,Standard,Functional,Excellent,2,No,Paved,Gravel,Regular,Inside,Gentle,10281,Single-family,Two-story,8,No,1,2,3,1,4,3
2,9261038,Bandra,Adjacent to Metro,24/7,Flood-prone,Sobha,Low,Good,Yes,Medium,1,4,Fair,High,Compliant,Low,1093,3,5,2,1,508,157,168,887,2,26,0.33617518319174555,Non-Compliant,Bangalore,Tamil Nadu,Weak,Good,Yes,No,Fair,2,2,Mixed,2022,2001,Asphalt Shingles,Metal,Wood,None,442,Excellent,Excellent,Poured Concrete,Fair,Good,GLQ,ALQ,Good,No,Standard,Typical,Fair,2,Yes,Paved,Gravel,Irregular,Cul-de-sac,Gentle,9817,Single-family,Ranch,8,No,2,1,3,3,1,2
3,9345573,Koramangala,2 km from Metro,24/7,Not Flood-prone,Tata,Low,Excellent,Yes,High,1,2,Fair,Low,Non-Compliant,Low,1768,1,4,3,1,414,284,127,1620,4,10,0.47498944082199035,Compliant,Chennai,Maharashtra,Medium,Good,Yes,No,Fair,3,3,Residential,2019,2015,Clay or Tile,Vinyl,Vinyl,None,572,Fair,Fair,Slab,Fair,Poor,GLQ,GLQ,Fair,No,Upgraded,Functional,Good,2,No,Gravel,Paved,Regular,Inside,Severe,13155,Single-family,Ranch,7,No,1,3,3,3,4,3
4,9657656,Anna Nagar,1 km from Metro,Tanker-dependent,Flood-prone,DLF,Medium,Excellent,Yes,High,4,2,Fair,Medium,Non-Compliant,High,1836,2,2,3,0,529,340,401,1012,3,12,0.38365009970188446,Compliant,Delhi,Delhi,Medium,Good,No,No,Fair,1,1,Commercial,2012,2007,Clay or Tile,Wood,Wood,Brick,234,Fair,Good,Crawl Space,Fair,Good,GLQ,ALQ,Fair,No,Upgraded,Functional,Fair,2,Yes,Gravel,Paved,Regular,Corner,Gentle,8762,Townhouse,Ranch,7,No,3,2,4,2,1,1
5,6099072,Koramangala,1 km from Metro,24/7,Not Flood-prone,Tata,Medium,Excellent,Yes,High,2,2,Good,Medium,Non-Compliant,Medium,1222,1,3,2,0,655,459,178,1083,1,10,0.4567526278261361,Compliant,Delhi,Tamil Nadu,Strong,Fair,No,No,Fair,3,1,Residential,2018,2017,Clay or Tile,Metal,Vinyl,Brick,390,Good,Good,Poured Concrete,Fair,Average,ALQ,ALQ,Good,No,Standard,Typical,Excellent,1,No,Paved,Gravel,Regular,Inside,Gentle,6496,Townhouse,Two-story,5,No,2,3,2,1,2,3
6,13116153,Koramangala,1 km from Metro,Tanker-dependent,Flood-prone,DLF,High,Fair,Yes,Low,2,3,Fair,Medium,Non-Compliant,Low,1361,2,2,2,0,879,53,472,1244,1,27,0.45338039830241683,Non-Compliant,Mumbai,Maharashtra,Strong,Good,Yes,No,Excellent,3,1,Mixed,2003,2002,Clay or Tile,Metal,Vinyl,Brick,115,Fair,Good,Slab,Good,Average,GLQ,BLQ,Fair,Yes,Upgraded,Functional,Good,1,Yes,Gravel,Gravel,Regular,Corner,Gentle,13219,Single-family,Two-story,5,Yes,2,1,2,3,2,1
7,7302846,Bandra,Adjacent to Metro,Tanker-dependent,Flood-prone,Sobha,Low,Fair,Yes,Low,3,5,Fair,Medium,Compliant,Medium,2945,1,2,2,1,301,239,74,920,2,13,0.2804703324161312,Non-Compliant,Bangalore,Delhi,Weak,Fair,Yes,No,Fair,1,2,Mixed,2023,2008,Asphalt Shingles,Vinyl,Vinyl,None,507,Fair,Fair,Poured Concrete,Good,Poor,GLQ,BLQ,Fair,Yes,Standard,Functional,Good,1,Yes,Paved,Gravel,Regular,Inside,Gentle,12173,Single-family,Two-story,5,Yes,4,1,3,1,4,2
8,7945499,Gurgaon,2 km from Metro,Tanker-dependent,Not Flood-prone,Tata,Low,Fair,Yes,High,4,4,Fair,High,Non-Compliant,Low,1488,3,4,3,1,336,298,109,208,4,20,0.16914184504698487,Non-Compliant,Delhi,Maharashtra,Strong,Poor,No,No,Excellent,1,4,Mixed,2000,2001,Asphalt Shingles,Vinyl,Vinyl,Brick,452,Excellent,Fair,Poured Concrete,Excellent,Poor,BLQ,ALQ,Good,No,Standard,Functional,Fair,2,No,Paved,Gravel,Regular,Cul-de-sac,Moderate,8944,Townhouse,Two-story,2,Yes,2,3,2,3,2,1
9,6200256,Bandra,1 km from Metro,24/7,Flood-prone,Local Builder,High,Good,No,Medium,3,2,Fair,Medium,Compliant,Medium,1816,1,4,2,0,612,385,232,1001,3,16,0.13570906883120293,Compliant,Mumbai,Tamil Nadu,Weak,Fair,Yes,No,Fair,4,4,Commercial,2009,2016,Clay or Tile,Metal,Metal,Stone,150,Fair,Excellent,Poured Concrete,Excellent,Good,BLQ,ALQ,Excellent,Yes,Upgraded,Typical,Good,2,Yes,Paved,Paved,Regular,Corner,Severe,9386,Single-family,Two-story,8,No,4,1,1,3,1,4
10,11726964,Bandra,2 km from Metro,24/7,Not Flood-prone,Sobha,Medium,Excellent,No,Low,3,2,Poor,High,Compliant,Medium,1832,3,4,2,1,26,364,88,1529,1,21,0.31417681590296503,Non-Compliant,Bangalore,Tamil Nadu,Weak,Fair,No,Yes,Good,3,2,Mixed,2022,2008,Slate,Metal,Wood,None,204,Excellent,Fair,Poured Concrete,Excellent,Good,ALQ,GLQ,Fair,Yes,Standard,Typical,Good,2,No,Paved,Paved,Irregular,Corner,Gentle,9970,Townhouse,Ranch,8,No,2,4,4,1,2,2
